# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	locus_tag	feature_interval_length	product_length	old_locus_tag
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	17208	19166	+	WP_016497347.1	WP_016497347.1		DDE-type integrase/transposase/recombinase		PP_RS00075	1959	652	PP_0014
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	19163	20122	+	WP_010951429.1	WP_010951429.1		TniB family NTP-binding protein		PP_RS00080	960	319	PP_0015
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	20198	22114	+	WP_010951430.1	WP_010951430.1		TniQ family protein		PP_RS00085	1917	638	PP_0016
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	22171	22530	+	WP_010951431.1	WP_010951431.1		DNA binding protein		PP_RS00090	360	119	PP_0017
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	23176	24018	+	WP_010951432.1	WP_010951432.1		TIGR04255 family protein		PP_RS00095	843	280	PP_0018
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	24015	24698	+	WP_126404318.1	WP_126404318.1		transcriptional regulator		PP_RS00100	684	227	PP_0019
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	24701	25570	+	WP_016497350.1	WP_016497350.1		hypothetical protein		PP_RS28370	870	289	PP_0020
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	25881	26804	+	WP_010951435.1	WP_010951435.1		hypothetical protein		PP_RS00110	924	307	PP_0021
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	27010	27234	+	WP_153428156.1	WP_153428156.1		hypothetical protein		PP_RS00115	225	74	
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	27249	27455	+	WP_003298411.1	WP_003298411.1		hypothetical protein		PP_RS00120	207	68	
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	27850	29547	-	WP_003298414.1	WP_003298414.1		phosphoethanolamine--lipid A transferase		PP_RS00125	1698	565	PP_0024
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	30038	30376	+	WP_079732563.1	WP_079732563.1		zinc ribbon domain-containing protein		PP_RS00130	339	112	
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	30431	31336	+	WP_010951438.1	WP_010951438.1		cation transporter		PP_RS00135	906	301	PP_0026
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	31494	31844	+	WP_011953105.1	WP_011953105.1		DUF3147 family protein		PP_RS00140	351	116	PP_0027
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	31877	32203	-	WP_010951440.1	WP_010951440.1		DUF2790 domain-containing protein		PP_RS00145	327	108	PP_0028
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	32893	33567	+	WP_003253457.1	WP_003253457.1		heavy metal response regulator transcription factor		PP_RS00150	675	224	PP_0029
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	33564	34982	+	WP_010951441.1	WP_010951441.1		heavy metal sensor histidine kinase		PP_RS00155	1419	472	PP_0030
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	35040	35627	-	WP_010951442.1	WP_010951442.1		hypothetical protein		PP_RS00160	588	195	PP_0031
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	35894	36115	+	WP_010951443.1	WP_010951443.1		hypothetical protein		PP_RS00165	222	73	PP_0032
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	36198	37652	-	WP_010951444.1	WP_010951444.1		phospholipid carrier-dependent glycosyltransferase		PP_RS00170	1455	484	PP_0033
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	37646	38629	-	WP_010951445.1	WP_010951445.1		glycosyltransferase family 2 protein		PP_RS00175	984	327	PP_0034
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	38595	39014	-	WP_010951446.1	WP_010951446.1		GtrA family protein		PP_RS00180	420	139	PP_0035
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	39272	40240	+	WP_010951447.1	WP_010951447.1		LysR family transcriptional regulator		PP_RS00185	969	322	PP_0036
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	40451	41758	+	WP_009395904.1	WP_009395904.1		OprO/OprP family phosphate-selective porin		PP_RS00190	1308	435	PP_0037
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	42057	43082	+	WP_010951450.1	WP_010951450.1		hypothetical protein		PP_RS00195	1026	341	PP_0039
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	43210	43434	+	WP_010951451.1	WP_010951451.1		hypothetical protein		PP_RS00200	225	74	PP_0040
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	43527	45524	-	WP_010951452.1	WP_010951452.1		heavy metal translocating P-type ATPase		PP_RS00205	1998	665	PP_0041
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	45727	46050	-	WP_003253432.1	WP_003253432.1		DUF2790 domain-containing protein		PP_RS00210	324	107	PP_0042
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	46213	49374	-	WP_010951454.1	WP_010951454.1		CusA/CzcA family heavy metal efflux RND transporter		PP_RS00215	3162	1053	PP_0043
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	49399	50649	-	WP_010951455.1	WP_010951455.1		efflux RND transporter periplasmic adaptor subunit		PP_RS00220	1251	416	PP_0044
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	50718	51989	-	WP_010951456.1	WP_010951456.1		TolC family protein		PP_RS00225	1272	423	PP_0045
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	52394	53737	+	WP_003253422.1	WP_003253422.1		OprD family porin		PP_RS00230	1344	447	PP_0046
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	54227	54901	+	WP_003253420.1	WP_003253420.1		heavy metal response regulator transcription factor		PP_RS00235	675	224	PP_0047
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	55019	55342	+	WP_010951457.1	WP_010951457.1		hypothetical protein		PP_RS00240	324	107	PP_0048
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	55444	55971	-	WP_012269855.1	WP_012269855.1		hypothetical protein		PP_RS00245	528	175	PP_5423
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	56161	57627	-	WP_010951458.1	WP_010951458.1		hypothetical protein		PP_RS00250	1467	488	PP_0049
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	57640	58041	-	WP_153428583.1	WP_153428583.1		hypothetical protein		PP_RS00255	402	133	PP_5424
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	58777	59184	-	WP_010951459.1	WP_010951459.1		RcnB family protein		PP_RS00260	408	135	PP_0050
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	59316	60608	-	WP_010951460.1	WP_010951460.1		sigma-54-dependent Fis family transcriptional regulator		PP_RS00265	1293	430	PP_0051
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	60831	61715	+	WP_010951461.1	WP_010951461.1		MBL fold metallo-hydrolase		PP_RS00270	885	294	PP_0052
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	61756	63024	+	WP_010951462.1	WP_010951462.1		NAD(P)/FAD-dependent oxidoreductase		PP_RS00275	1269	422	PP_0053
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	63021	63839	+	WP_049588437.1	WP_049588437.1		sulfite exporter TauE/SafE family protein		PP_RS00280	819	272	PP_0054
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	63828	64715	-	WP_010951464.1	WP_010951464.1		LysR family transcriptional regulator		PP_RS00285	888	295	PP_0055
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	64949	66595	+	WP_049588436.1	WP_049588436.1		GMC family oxidoreductase N-terminal domain-containing protein		PP_RS00290	1647	548	PP_0056
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	66693	68312	+	WP_010951466.1	WP_010951466.1		MFS transporter		PP_RS00295	1620	539	PP_0057
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	68487	69272	-	WP_010951467.1	WP_010951467.1		1-acyl-sn-glycerol-3-phosphate acyltransferase		PP_RS00300	786	261	PP_0058
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	69319	69846	-	WP_003253129.1	WP_003253129.1		"D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase"	gmhB	PP_RS00305	528	175	PP_0059
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	69850	71904	-	WP_010951468.1	WP_010951468.1		glycine--tRNA ligase subunit beta		PP_RS00310	2055	684	PP_0060
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	71901	72848	-	WP_003253126.1	WP_003253126.1		glycine--tRNA ligase subunit alpha	glyQ	PP_RS00315	948	315	PP_0061
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	72932	73483	+	WP_010951469.1	WP_010951469.1		DNA-3-methyladenine glycosylase I		PP_RS00320	552	183	PP_0062
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	73525	74412	+	WP_010951470.1	WP_010951470.1		lysophospholipid acyltransferase		PP_RS00325	888	295	PP_0063
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	74510	74824	-	WP_010951471.1	WP_010951471.1		tetratricopeptide repeat protein		PP_RS00330	315	104	PP_0064
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	74836	76209	-	WP_010951472.1	WP_010951472.1		Trk system potassium transporter TrkA	trkA	PP_RS00335	1374	457	PP_0065
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	76233	77543	-	WP_010951473.1	WP_010951473.1		16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	rsmB	PP_RS00340	1311	436	PP_0066
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	77540	78472	-	WP_010951474.1	WP_010951474.1		methionyl-tRNA formyltransferase	fmt	PP_RS00345	933	310	PP_0067
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	78533	79039	-	WP_003253111.1	WP_003253111.1		peptide deformylase		PP_RS00350	507	168	PP_0068
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	79246	80343	+	WP_010951475.1	WP_010951475.1		DNA-protecting protein DprA	dprA	PP_RS00355	1098	365	PP_0069
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	80386	80943	+	WP_010951476.1	WP_010951476.1		L-threonylcarbamoyladenylate synthase		PP_RS00360	558	185	PP_0070
CDS	without_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	81074	81277	+				hypothetical protein		PP_RS00365	204		PP_5425
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	81709	82023	+	WP_172835044.1	WP_172835044.1		hypothetical protein		PP_RS00370	315	104	PP_0071
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	82151	83128	-	WP_010951478.1	WP_010951478.1		NADPH:quinone reductase		PP_RS00375	978	325	PP_0072
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	83261	84172	+	WP_010951479.1	WP_010951479.1		oxygen-dependent coproporphyrinogen oxidase	hemF	PP_RS00380	912	303	PP_0073
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	84198	85022	+	WP_010951480.1	WP_010951480.1		shikimate dehydrogenase	aroE	PP_RS00385	825	274	PP_0074
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	85152	86717	-	WP_010951481.1	WP_010951481.1		SulP family inorganic anion transporter		PP_RS00390	1566	521	PP_0075
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	86862	87785	-	WP_049588430.1	WP_049588430.1		choline ABC transporter substrate-binding protein	choX	PP_RS00395	924	307	PP_0076
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	87800	89317	-	WP_010951483.1	WP_010951483.1		choline-sulfatase	betC	PP_RS00400	1518	505	PP_0077
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	89426	90325	+	WP_010951485.1	WP_010951485.1		LysR family transcriptional regulator		PP_RS00405	900	299	PP_0079
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	90447	91064	-	WP_010951486.1	WP_010951486.1		NAD(P)H-binding protein		PP_RS00410	618	205	PP_0080
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	91117	91449	+	WP_020189868.1	WP_020189868.1		"DOPA 4,5-dioxygenase family protein"		PP_RS00415	333	110	PP_0081
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	91570	92379	-	WP_010951488.1	WP_010951488.1		tryptophan synthase subunit alpha		PP_RS00420	810	269	PP_0082
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	92376	93593	-	WP_010951489.1	WP_010951489.1		tryptophan synthase subunit beta	trpB	PP_RS00425	1218	405	PP_0083
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	93704	94600	+	WP_010951490.1	WP_010951490.1		LysR family transcriptional regulator		PP_RS00430	897	298	PP_0084
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	94597	94920	-	WP_014589231.1	WP_014589231.1		DUF883 domain-containing protein		PP_RS00435	324	107	PP_0085
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	95071	95286	+	WP_003253076.1	WP_003253076.1		dodecin family protein		PP_RS00440	216	71	PP_0086
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	95387	95608	+	WP_049588427.1	WP_049588427.1		DUF1161 domain-containing protein		PP_RS00445	222	73	PP_0087
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	95680	96684	-	WP_010951493.1	WP_010951493.1		LLM class flavin-dependent oxidoreductase		PP_RS00450	1005	334	PP_0088
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	96837	97262	+	WP_003253070.1	WP_003253070.1		OsmC family protein		PP_RS00455	426	141	PP_0089
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	97338	97571	+	WP_020191563.1	WP_020191563.1		DUF1161 domain-containing protein		PP_RS00460	234	77	PP_0090
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	97607	98020	-	WP_010951495.1	WP_010951495.1		lipoprotein		PP_RS00465	414	137	PP_0091
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	98076	98489	-	WP_010951496.1	WP_010951496.1		lipoprotein		PP_RS00470	414	137	PP_0092
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	98575	99651	+	WP_049588425.1	WP_049588425.1		aminopeptidase		PP_RS00475	1077	358	PP_0093
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	99758	100408	-	WP_010951498.1	WP_010951498.1		HAD family hydrolase		PP_RS00480	651	216	PP_0094
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	100530	101078	-	WP_004575263.1	WP_004575263.1		gamma carbonic anhydrase family protein		PP_RS00485	549	182	PP_0095
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	101145	103232	+	WP_049588422.1	WP_049588422.1		oligopeptidase A	prlC	PP_RS00490	2088	695	PP_0096
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	103229	103510	+	WP_010951500.1	WP_010951500.1		YheV family putative metal-binding protein		PP_RS00495	282	93	PP_0097
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	103842	104900	+	WP_010951502.1	WP_010951502.1		PA0069 family radical SAM protein		PP_RS00505	1059	352	PP_0099
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	105207	105926	+	WP_003253046.1	WP_003253046.1		carbonic anhydrase		PP_RS00510	720	239	PP_0100
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	106119	107651	+	WP_020191557.1	WP_020191557.1		SulP family inorganic anion transporter		PP_RS00515	1533	510	PP_0101
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	107799	108440	-	WP_014861534.1	WP_014861534.1		hypothetical protein		PP_RS00520	642	213	PP_5426
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	108810	109937	+	WP_010951505.1	WP_010951505.1		cytochrome c oxidase subunit II	coxB	PP_RS00525	1128	375	PP_0103
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	109981	111570	+	WP_010951506.1	WP_010951506.1		cytochrome c oxidase subunit I	ctaD	PP_RS00530	1590	529	PP_0104
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	111580	112146	+	WP_003253035.1	WP_003253035.1		cytochrome c oxidase assembly protein		PP_RS00535	567	188	PP_0105
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	112163	113050	+	WP_010951507.1	WP_010951507.1		cytochrome c oxidase subunit 3		PP_RS00540	888	295	PP_0106
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	113082	113285	-	WP_003253030.1	WP_003253030.1		twin transmembrane helix small protein		PP_RS00545	204	67	PP_5427
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	113337	114074	+	WP_049588418.1	WP_049588418.1		SURF1 family protein		PP_RS00550	738	245	PP_0107
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	114043	114624	+	WP_010951509.1	WP_010951509.1		hypothetical protein		PP_RS00555	582	193	PP_0108
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	114634	115713	+	WP_010951510.1	WP_010951510.1		COX15/CtaA family protein		PP_RS00560	1080	359	PP_0109
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	115698	116591	+	WP_010951511.1	WP_010951511.1		protoheme IX farnesyltransferase		PP_RS00565	894	297	PP_0110
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	116588	117220	+	WP_003253019.1	WP_003253019.1		SCO family protein		PP_RS00570	633	210	PP_0111
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	117314	118084	-	WP_010951512.1	WP_010951512.1		ABC transporter substrate-binding protein		PP_RS00575	771	256	PP_0112
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	118149	118820	-	WP_010951513.1	WP_010951513.1		ABC transporter permease		PP_RS00580	672	223	PP_0113
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	118820	119827	-	WP_003253013.1	WP_003253013.1		methionine ABC transporter ATP-binding protein		PP_RS00585	1008	335	PP_0114
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	120055	122190	+	WP_010951514.1	WP_010951514.1		catalase HPII	katE	PP_RS00590	2136	711	PP_0115
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	122251	122958	-	WP_010951515.1	WP_010951515.1		lipoprotein		PP_RS00595	708	235	PP_0116
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	123085	123867	-	WP_010951516.1	WP_010951516.1		zinc ABC transporter permease subunit ZnuB	znuB	PP_RS00600	783	260	PP_0117
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	123860	124633	-	WP_010951517.1	WP_010951517.1		zinc ABC transporter ATP-binding protein ZnuC	znuC	PP_RS00605	774	257	PP_0118
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	124630	125115	-	WP_003253002.1	WP_003253002.1		zinc uptake transcriptional repressor Zur	zur	PP_RS00610	486	161	PP_0119
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	125182	126090	+	WP_010951519.1	WP_010951519.1		zinc ABC transporter substrate-binding protein		PP_RS00615	909	302	PP_0120
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	126140	127090	-	WP_003252998.1	WP_003252998.1		homoserine kinase		PP_RS00620	951	316	PP_0121
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	127160	127447	-	WP_010951520.1	WP_010951520.1		DUF2782 domain-containing protein		PP_RS00625	288	95	PP_0122
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	127523	130270	+	WP_010951521.1	WP_010951521.1		DNA polymerase I	polA	PP_RS00630	2748	915	PP_0123
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	130641	131273	-	WP_010951522.1	WP_010951522.1		YihA family ribosome biogenesis GTP-binding protein		PP_RS00635	633	210	PP_0124
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	131475	131777	+	WP_003252992.1	WP_003252992.1		cytochrome c5 family protein		PP_RS00640	303	100	PP_0125
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	131809	132426	+	WP_003252989.1	WP_003252989.1		cytochrome c4		PP_RS00645	618	205	PP_0126
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	132578	133210	+	WP_010951523.1	WP_010951523.1		thiol:disulfide interchange protein DsbA	dsbA	PP_RS00650	633	210	PP_0127
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	133223	134077	+	WP_003252985.1	WP_003252985.1		endonuclease/exonuclease/phosphatase family protein		PP_RS00655	855	284	PP_0128
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	134105	136042	+	WP_010951524.1	WP_010951524.1		diguanylate cyclase		PP_RS00660	1938	645	PP_0129
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	136116	136904	+	WP_010951525.1	WP_010951525.1		N-acetylmuramoyl-L-alanine amidase		PP_RS00665	789	262	PP_0130
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	137109	138707	+	WP_019437393.1	WP_019437393.1		EAL domain-containing protein		PP_RS00670	1599	532	PP_0131
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	138722	140503	-	WP_010951527.1	WP_010951527.1		PAS domain-containing protein		PP_RS00675	1782	593	PP_0132
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	140500	141846	-	WP_010951528.1	WP_010951528.1		sigma-54-dependent response regulator transcription factor AlgB	algB	PP_RS00680	1347	448	PP_0133
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	142057	142878	+	WP_010951529.1	WP_010951529.1		BON domain-containing protein		PP_RS00685	822	273	PP_0134
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	143053	143343	+	WP_049588414.1	WP_049588414.1		hypothetical protein		PP_RS00690	291	96	PP_5428
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	143387	143548	+	WP_003252966.1	WP_003252966.1		DUF1328 domain-containing protein		PP_RS00695	162	53	PP_0135
CDS	with_protein	GCF_000007565.2	Primary Assembly	chromosome		NC_002947.4	143551	144021	+	WP_010951530.1	WP_010951530.1		inhibitor of vertebrate lysozyme family protein		PP_RS00700	471	156	PP_0136
